code,descr,lang_code,is_active,cr_by,cr_dtimes
auth-email-content,Modèle de contenu pour les courriels d'autorisation,fra,TRUE,superadmin,now()
auth-email-subject,Modèle d'objet pour les courriels d'autorisation,fra,TRUE,superadmin,now()
auth-sms,Modèle de message pour les SMS d'autorisation,fra,TRUE,superadmin,now()
ida-auth-otp-email-content-template,Modèle de contenu de courriel d'authentification OTP pour l'application authentification,fra,TRUE,superadmin,now()
ida-auth-otp-email-subject-template,Modèle d'objet de courriel d'authentification OTP pour l'application authentification,fra,TRUE,superadmin,now()
ida-auth-otp-sms-template,Modèle de sms d'authentification OTP pour l'application authentification,fra,TRUE,superadmin,now()
RPR_DUP_UIN_EMAIL,Modèle de courriel pour duplication de l'identifiant national,fra,TRUE,superadmin,now()
RPR_DUP_UIN_SMS,Modèle de SMS pour duplication de l'identifiant national,fra,TRUE,superadmin,now()
RPR_TEC_ISSUE_EMAIL,Modèle de courriel pour problème technique,fra,TRUE,superadmin,now()
RPR_TEC_ISSUE_SMS,Modèle de SMS  pour problème technique,fra,TRUE,superadmin,now()
RPR_UIN_GEN_EMAIL,Modèle de courriel pour génération de l'identifiant national,fra,TRUE,superadmin,now()
RPR_UIN_GEN_SMS,Modèle de SMS de génération de l'identifiant national,fra,TRUE,superadmin,now()
RPR_UIN_UPD_EMAIL,Modèle de courriel pour mise à jour des informations personnelles,fra,TRUE,superadmin,now()
RPR_UIN_UPD_SMS,Modèle de SMS pour mise à jour des informations personnelles,fra,TRUE,superadmin,now()
NewReg-email-content-template,Modèle de contenu de courriel pour nouvel enregistrement,fra,TRUE,superadmin,now()
NewReg-email-subject-template,Modèle d'objet de courriel pour nouvel enregistrement,fra,TRUE,superadmin,now()
NewReg-sms-template,Modèle de SMS pour nouvel enregistrement,fra,TRUE,superadmin,now()
OTP-email-content-template,Modèle de contenu de courriel d'authentification OTP,fra,TRUE,superadmin,now()
OTP-email-subject-template,Modèle d'objet de courriel d'authentification OTP,fra,TRUE,superadmin,now()
OTP-sms-template,Modèle de SMS d'authentification OTP,fra,TRUE,superadmin,now()
Update-email-content-template,Modèle de contenu de courriel de les mises à jour,fra,TRUE,superadmin,now()
Update-email-subject-template,Modèle d'objet de courriel de mises à jour Objet de le-mail,fra,TRUE,superadmin,now()
Update-sms-template,Modèle de SMS pour les mises à jour,fra,TRUE,superadmin,now()
Email-Acknowledgement,Modèle de courriel de confirmation,fra,TRUE,superadmin,now()
Onscreen-Acknowledgement,Modèle de confirmation affiché à l'écran,fra,TRUE,superadmin,now()
SMS-Acknowledgement,Modèle de SMS de confirmation,fra,TRUE,superadmin,now()
Acknowledgement-email-subject,Modèle d'objet d'email de confirmation,fra,TRUE,superadmin,now()
RPR_UIN_CARD_TEMPLATE,Modèle de carte d'identifiant national,fra,TRUE,superadmin,now()
RPR_UIN_DEAC_SMS,Modèle de SMS pour désactivation de l'identifiant national,fra,TRUE,superadmin,now()
RPR_UIN_DEAC_EMAIL,Modèle de courriel pour désactivation de l'identifiant national,fra,TRUE,superadmin,now()
RPR_UIN_REAC_SMS,Modèle de SMS pour réactivation de l'identifiant national,fra,TRUE,superadmin,now()
RPR_UIN_REAC_EMAIL,Modèle de courriel pour réactivation de l'identifiant national,fra,TRUE,superadmin,now()
reg-sms-notification,Modèle de SMS de notification lors de l'enregistrement,fra,TRUE,superadmin,now()
reg-email-notification,Modèle de courriel de notification lors de l'enregistrement,fra,TRUE,superadmin,now()
reg-ack-template-part1,Modèle de confirmation lors de première étape d'enregistrement,fra,TRUE,superadmin,now()
reg-ack-template-part2,Modèle de confirmation lors de deuxième étape d'enregistrement,fra,TRUE,superadmin,now()
reg-ack-template-part3,Modèle de confirmation lors de troisième étape d'enregistrement,fra,TRUE,superadmin,now()
reg-ack-template-part4,Modèle de confirmation lors de quatrième étape d'enregistrement,fra,TRUE,superadmin,now()
consent,Consentement,fra,TRUE,superadmin,now()
auth-otp-email-subject-template,Modèle d'objet de courriel d'authentification OTP,fra,TRUE,superadmin,now()
auth-otp-email-content-template,Modèle de contenu de courriel d'authentification OTP,fra,TRUE,superadmin,now()
auth-otp-sms-template,Modèle de SMS d'authentification OTP,fra,TRUE,superadmin,now()
lostUIN-email-notification,Modèle de courriel de notification pour identifiant national perdu,fra,TRUE,superadmin,now()
lostUIN-sms-notification,Modèle de SMS de notification pour identifiant national perdu,fra,TRUE,superadmin,now()
updateUIN-email-notification,Modèle de courriel de notification pour mise à jour de l'identifiant national,fra,TRUE,superadmin,now()
updateUIN-sms-notification,Modèle de SMS de notification pour mise à jour de l'identifiant national,fra,TRUE,superadmin,now()
cancel-appointment,Modèle pour annuler un rendez-vous,fra,TRUE,superadmin,now()
RPR_LOST_UIN_SMS,SMS de notification pour identifiant national perdu,fra,TRUE,superadmin,now()
RPR_LOST_UIN_EMAIL,Courriel de notification pour identifiant national perdu,fra,TRUE,superadmin,now()
RPR_MASKED_UIN_CARD_TEMPLATE,Modèle de masque pour la carte d'identifiant national,fra,TRUE,superadmin,now()
RS_AUTH_HIST_SUCCESS_EMAIL,Courriel de confirmation pour les historiques d'authentification,fra,TRUE,superadmin,now()
RS_AUTH_HIST_SUCCESS_SMS,SMS de confirmation pour les historiques d'authentification,fra,TRUE,superadmin,now()
RS_AUTH_HIST_SUCCESS_EMAIL_SUB,Objet de courriel de confirmation pour les historiques d'authentification,fra,TRUE,superadmin,now()
RS_DOW_UIN_SUCCESS_EMAIL,Courriel de confirmation du téléchargement de l'e-Identifiant national,fra,TRUE,superadmin,now()
RS_DOW_UIN_SUCCESS_EMAIL_SUB,Objet du courriel de confirmation du téléchargement de l'e-Identifiant national,fra,TRUE,superadmin,now()
RS_DOW_UIN_SUCCESS_SMS,SMS de confirmation du téléchargement de l'e-Identifiant national,fra,TRUE,superadmin,now()
RS_LOCK_AUTH_SUCCESS_EMAIL,Courriel de confirmation du verrouillage des types d'authentification,fra,TRUE,superadmin,now()
RS_LOCK_AUTH_SUCCESS_EMAIL_SUB,Objet du courriel de confirmation du verrouillage des types d'authentification,fra,TRUE,superadmin,now()
RS_LOCK_AUTH_SUCCESS_SMS,SMS de confirmation du verrouillage des types d'authentification,fra,TRUE,superadmin,now()
RS_UNLOCK_AUTH_SUCCESS_EMAIL,Courriel de confirmation du déverrouillage des types d'authentification,fra,TRUE,superadmin,now()
RS_UNLOCK_AUTH_SUCCESS_EMAIL_SUB,Objet du courriel de confirmation du déverrouillage des types d'authentification,fra,TRUE,superadmin,now()
RS_UNLOCK_AUTH_SUCCESS_SMS,SMS de confirmation du déverrouillage des types d'authentification,fra,TRUE,superadmin,now()
RS_VIN_GEN_SUCCESS_EMAIL,Courriel de confirmation de la génération de l'identifiant virtuel,fra,TRUE,superadmin,now()
RS_VIN_GEN_SUCCESS_EMAIL_SUB,Objet du courriel de confirmation de la génération de l'identifiant virtuel,fra,TRUE,superadmin,now()
RS_VIN_GEN_SUCCESS_SMS,SMS de confirmation de la génération de l'identifiant virtuel,fra,TRUE,superadmin,now()
RS_VIN_REV_SUCCESS_EMAIL,Courriel de confirmation de la révocation de l'identifiant virtuel,fra,TRUE,superadmin,now()
RS_VIN_REV_SUCCESS_EMAIL_SUB,Objet du courriel de confirmation de la révocation de l'identifiant virtuel,fra,TRUE,superadmin,now()
RS_VIN_REV_SUCCESS_SMS,SMS de confirmation de la révocation de l'identifiant virtuel,fra,TRUE,superadmin,now()
RS_UIN_RPR_SUCCESS_EMAIL,Courriel de confirmation de la requete de réimpression,fra,TRUE,superadmin,now()
RS_UIN_RPR_SUCCESS_EMAIL_SUB,Objet du courriel de confirmation de la requete de réimpression,fra,TRUE,superadmin,now()
RS_UIN_RPR_SUCCESS_SMS,SMS de confirmation de la requete de réimpression,fra,TRUE,superadmin,now()
RS_AUTH_HIST_FAILURE_EMAIL,Courriel pour les historiques d'authentification en échec,fra,TRUE,superadmin,now()
RS_AUTH_HIST_FAILURE_EMAIL_SUB,Objet du Courriel pour les historiques d'authentification en échec,fra,TRUE,superadmin,now()
RS_AUTH_HIST_FAILURE_SMS,SMS pour les historiques d'authentification en échec,fra,TRUE,superadmin,now()
RS_DOW_UIN_FAILURE_EMAIL,Courriel d'échec du téléchargement de d'identifiant national,fra,TRUE,superadmin,now()
RS_DOW_UIN_FAILURE_EMAIL_SUB,Objet du courriel d'échec du téléchargement de d'identifiant national,fra,TRUE,superadmin,now()
RS_DOW_UIN_FAILURE_SMS,SMS pour l'échec du téléchargement de d'identifiant national,fra,TRUE,superadmin,now()
RS_LOCK_AUTH_FAILURE_EMAIL,Courriel de confirmation de l'échec du verrouillage des types d'authentification,fra,TRUE,superadmin,now()
RS_LOCK_AUTH_FAILURE_EMAIL_SUB,Objet du courriel de confirmation de l'échec du verrouillage des types d'authentification,fra,TRUE,superadmin,now()
RS_LOCK_AUTH_FAILURE_SMS,SMS de confirmation de l'échec du verrouillage des types d'authentification,fra,TRUE,superadmin,now()
RS_UIN_RPR_FAILURE_EMAIL,Courriel d'échec de la requete de réimpression,fra,TRUE,superadmin,now()
RS_UIN_RPR_FAILURE_EMAIL_SUB,Objet du courriel d'échec de la requete de réimpression,fra,TRUE,superadmin,now()
RS_UIN_RPR_FAILURE_SMS,SMS d'échec de la requete de réimpression,fra,TRUE,superadmin,now()
RS_UNLOCK_AUTH_FAILURE_EMAIL,Courriel de l'échec du déverrouillage des types d'authentifcation,fra,TRUE,superadmin,now()
RS_UNLOCK_AUTH_FAILURE_EMAIL_SUB,Objet du courriel de l'échec du déverrouillage des types d'authentifcation,fra,TRUE,superadmin,now()
RS_UNLOCK_AUTH_FAILURE_SMS,SMS de l'échec du déverrouillage des types d'authentifcation,fra,TRUE,superadmin,now()
RS_VIN_GEN_FAILURE_EMAIL,Courriel de l'échec de la génération de l'identifiant virtuel,fra,TRUE,superadmin,now()
RS_VIN_GEN_FAILURE_EMAIL_SUB,Objet de l'e-mail de l'échec de la génération de l'identifiant virtuel,fra,TRUE,superadmin,now()
RS_VIN_GEN_FAILURE_SMS,SMS de l'échec de la génération de l'identifiant virtuel,fra,TRUE,superadmin,now()
RS_VIN_REV_FAILURE_EMAIL,Courriel de l'échec de la révocation de l'identifiant virtuel,fra,TRUE,superadmin,now()
RS_VIN_REV_FAILURE_EMAIL_SUB,Objet du courriel de l'échec de la révocation de l'identifiant virtuel,fra,TRUE,superadmin,now()
RS_VIN_REV_FAILURE_SMS,SMS de l'échec de la révocation de l'identifiant virtuel,fra,TRUE,superadmin,now()
RS_UIN_UPDATE_SUCCESS_EMAIL,Courriel de confirmation de la requête de mise à jour de l'identifiant national,fra,TRUE,superadmin,now()
RS_UIN_UPDATE_SUCCESS_EMAIL_SUB,Objet du courriel de confirmation de la requête de mise à jour de l'identifiant national,fra,TRUE,superadmin,now()
RS_UIN_UPDATE_SUCCESS_SMS,SMS de confirmation de la requête de mise à jour de l'identifiant national,fra,TRUE,superadmin,now()
RS_UIN_UPDATE_FAILURE_EMAIL,Courriel de l'échec de la requête de mise à jour de l'identifiant national,fra,TRUE,superadmin,now()
RS_UIN_UPDATE_FAILURE_EMAIL_SUB,Objet du courriel de l'échec de la requête de mise à jour de l'identifiant national,fra,TRUE,superadmin,now()
RS_UIN_UPDATE_FAILURE_SMS,SMS de l'échec de la requête de mise à jour de l'identifiant national,fra,TRUE,superadmin,now()
Email-Reminder,Modèle de courriel de rappel de rendez-vous,fra,TRUE,superadmin,now()
SMS-Reminder,Modèle de SMS de rappel de rendez-vous,fra,TRUE,superadmin,now()
Reminder-email-subject,Modèle d'objet d'email de rappel de rendez-vous,fra,TRUE,superadmin,now()